2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:53:06Z INFO [59/367] 15b776f4-499f-49ba-b171-2d1697465332: 30 groups; 1.3 s; peak memory 258 MiB.
2026-09-25T19:53:08Z INFO [60/367] 15b907b2-c6a5-4646-bd96-167bc154d621: 30 groups; 1.5 s; peak memory 258 MiB.
2026-09-25T19:53:10Z INFO [61/367] 15ba1c75-acc6-495f-be72-90a4ae8a5f38: 195 groups; 2.2 s; peak memory 258 MiB.
2026-09-25T19:53:12Z INFO [62/367] 15bb0049-e101-43c4-a230-a4f6f91a53d2: 33 groups; 1.9 s; peak memory 258 MiB.
2026-09-25T19:53:14Z INFO [63/367] 15bba031-2686-44ba-86e0-e39dbf61ea89: 35 groups; 2.0 s; peak memory 258 MiB.
2026-09-25T19:53:15Z INFO [64/367] 15bbef90-b222-4d2a-b705-ffb8c91f8a3a: 22 groups; 1.5 s; peak memory 258 MiB.
2026-09-25T19:53:18Z INFO [65/367] 15bd486e-ad4e-487b-b7ba-626e522941d4: 35 groups; 2.3 s; peak memory 258 MiB.
2026-09-25T19:53:21Z INFO [66/367] 15be2227-f23d-47c5-a6c9-3fb02a2ac5bb: 48 groups; 3.4 s; peak memory 258 MiB.
2026-09-25T19:53:24Z INFO [67/367] 15be3daf-f645-4330-83a1-4bd9c937662c: 56 groups; 3.4 s; peak memory 258 MiB.
2026-09-25T19:53:26Z INFO [68/367] 15be5b94-3e1f-41f9-9bc2-b2dad0556c0f: 253 groups; 1.8 s; peak memory 258 MiB.
2026-09-25T19:53:28Z INFO [69/367] 15bf9e06-1b64-4968-82c0-7bfd5074719b: 17 groups; 1.6 s; peak memory 258 MiB.
2026-09-25T19:53:38Z INFO [70/367] 15bfd727-807d-40f2-a4c9-00a30d6ac274: 151 groups; 10.0 s; peak memory 258 MiB.
2026-09-25T19:53:40Z INFO [71/367] 15c010be-7d3e-4bce-90da-e24df1fd0422: 32 groups; 1.8 s; peak memory 258 MiB.
2026-09-25T19:53:48Z INFO [72/367] 15c23891-3462-4f6c-9fd3-c8c322c8178c: 66 groups; 8.3 s; peak memory 258 MiB.
2026-09-25T19:53:49Z INFO [73/367] 15c2c848-c941-48e8-a4af-6e31f1bbc841: 30 groups; 1.4 s; peak memory 258 MiB.
2026-09-25T19:53:58Z INFO [74/367] 15c32318-500e-4836-b214-31128bd7f740: 67 groups; 8.5 s; peak memory 258 MiB.
2026-09-25T19:54:00Z INFO [75/367] 15c32754-98b9-44d1-9c89-de325f7f7a31: 41 groups; 2.5 s; peak memory 259 MiB.
2026-09-25T19:54:02Z INFO [76/367] 15c40281-eb15-400f-89f7-a5f8785a1b8b: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:54:04Z INFO [77/367] 15c4e38a-5f39-4079-9352-0b0a4f61d4c2: 32 groups; 1.8 s; peak memory 259 MiB.
2026-09-25T19:54:05Z INFO [78/367] 15c62eac-5a7d-4fd5-9020-b5cc725aff2a: 32 groups; 1.8 s; peak memory 259 MiB.
2026-09-25T19:54:39Z INFO [79/367] 15c7095f-437c-4b3a-928f-6656c83e70e5: 289 groups; 33.7 s; peak memory 259 MiB.
2026-09-25T19:54:54Z INFO [80/367] 15c83cc1-f7c5-452a-b6ec-e6114f76f1b2: 160 groups; 14.6 s; peak memory 259 MiB.
2026-09-25T19:54:56Z INFO [81/367] 15c88529-14de-4f0e-b9ba-a218f28606f5: 35 groups; 2.1 s; peak memory 259 MiB.
2026-09-25T19:55:08Z INFO [82/367] 15ca3e65-dfc5-46d3-982a-8e24f040253e: 195 groups; 12.5 s; peak memory 259 MiB.
2026-09-25T19:55:10Z INFO [83/367] 15ca3f0e-e304-46b6-bf6c-07a4db27ced9: 103 groups; 1.7 s; peak memory 259 MiB.
2026-09-25T19:55:18Z INFO [84/367] 15cb7e06-b505-4da4-bc67-7ec88c4f405c: 139 groups; 8.3 s; peak memory 259 MiB.
2026-09-25T19:55:20Z INFO [85/367] 15cb9f1b-fa1b-4223-b70b-ed0b3118bb2d: 35 groups; 2.1 s; peak memory 259 MiB.
2026-09-25T19:55:34Z INFO [86/367] 15cc8b66-226d-449f-9ef9-574d0962f578: 76 groups; 14.1 s; peak memory 259 MiB.
2026-09-25T19:55:36Z INFO [87/367] 15cccdd3-fa41-4a94-9045-1253659697b5: 21 groups; 1.9 s; peak memory 259 MiB.
2026-09-25T19:55:40Z INFO [88/367] 15cd1dc4-3201-4757-ae6e-a27ded161f71: 48 groups; 3.4 s; peak memory 259 MiB.
