2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:20:47Z INFO [121/381] 150ab095-09fd-4a1d-a3da-f19c62210443: 22 groups; 1.7 s; peak memory 486 MiB.
2026-09-25T16:22:51Z INFO [122/381] 150ac56e-9724-46bb-8348-6a45583cbf40: 68 groups; 124.1 s; peak memory 486 MiB.
2026-09-25T16:22:54Z INFO [123/381] 150b2ebf-ee87-4f03-9b21-97cdd02a3c88: 35 groups; 2.2 s; peak memory 486 MiB.
2026-09-25T16:26:07Z INFO [124/381] 150c0747-51d0-426a-aae2-6f147f37edf7: 45 groups; 193.5 s; peak memory 1250 MiB.
2026-09-25T16:26:08Z INFO [125/381] 150c8713-4483-409d-bd4b-80b3e41ee3d1: 16 groups; 1.0 s; peak memory 1250 MiB.
2026-09-25T16:26:09Z INFO [126/381] 150d60d4-7c29-4495-b13a-7062a7bd6bc6: 25 groups; 1.4 s; peak memory 1250 MiB.
2026-09-25T16:26:20Z INFO [127/381] 150f0f2b-ceec-42f9-8875-38b53ba52228: 164 groups; 10.9 s; peak memory 1250 MiB.
2026-09-25T16:26:22Z INFO [128/381] 150fa28e-ee9a-4580-b5c2-7a3ba3104383: 16 groups; 1.3 s; peak memory 1250 MiB.
2026-09-25T16:26:24Z INFO [129/381] 150fcaf5-13ba-4f4a-a025-614748a6d178: 207 groups; 2.4 s; peak memory 1250 MiB.
2026-09-25T16:26:25Z INFO [130/381] 15100bf1-8beb-474a-a1b6-75c496ade175: 30 groups; 1.1 s; peak memory 1250 MiB.
2026-09-25T16:26:27Z INFO [131/381] 1510419e-1b33-4b39-903b-1f91edfe2f8c: 29 groups; 1.8 s; peak memory 1250 MiB.
2026-09-25T16:26:28Z INFO [132/381] 1510a198-c24e-4ad7-a79d-b4be3d837971: 16 groups; 1.1 s; peak memory 1250 MiB.
2026-09-25T16:26:30Z INFO [133/381] 1510e774-4164-443b-89fe-f4242a1de29b: 32 groups; 1.6 s; peak memory 1250 MiB.
2026-09-25T16:26:31Z INFO [134/381] 15112683-4e73-4da3-9819-11c97fa79950: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:26:32Z INFO [135/381] 1511dbd1-0178-48e6-8a5a-f2ac04d3ba55: 22 groups; 1.0 s; peak memory 1250 MiB.
2026-09-25T16:26:33Z INFO [136/381] 1515e2f3-dc5d-4b86-9298-e41fcc466b8e: 31 groups; 1.2 s; peak memory 1250 MiB.
