2026-09-18T21:58:54Z INFO Logging to /tmp/logs/update_2026-09-18T21-58-54Z.log.
2026-09-18T21:58:54Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T21:58:54Z INFO Processing 368 items (49901 already recorded).
2026-09-18T22:09:25Z INFO [125/368] 068e68ea-e5a3-4e6f-8b0c-c4f16a87bc5c: 214 groups; 6.9 s; peak memory 1082 MiB.
2026-09-18T22:09:27Z INFO [126/368] 068f7c23-e2cb-4a7e-92ea-2f9664da5f66: 56 groups; 1.7 s; peak memory 1082 MiB.
2026-09-18T22:09:30Z INFO [127/368] 06901957-e0d6-4878-9777-c6548606507a: 47 groups; 3.3 s; peak memory 1082 MiB.
2026-09-18T22:09:31Z INFO [128/368] 069032c7-9400-4a34-bed7-00b5b703e412: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:09:32Z INFO [129/368] 06903dde-6011-402f-91e0-3c09f75d822e: 35 groups; 0.9 s; peak memory 1082 MiB.
2026-09-18T22:09:33Z INFO [130/368] 06907ff5-f13f-47d8-983c-1b4ad19e7d20: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:09:34Z INFO [131/368] 0690d756-6b17-4950-8aec-5ad3f576a8f5: 336 groups; 1.0 s; peak memory 1082 MiB.
2026-09-18T22:09:34Z INFO [132/368] 06917472-079d-4450-aff0-3be17d684a7c: 19 groups; 0.5 s; peak memory 1082 MiB.
2026-09-18T22:09:35Z INFO [133/368] 06934eb7-ba6e-4cd3-9ed8-c58d4f839b0d: 35 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:35Z INFO [134/368] 0693fb77-1a5e-4d76-9007-c6bdc597d8cd: 32 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:36Z INFO [135/368] 06945228-6d8d-4dd2-a4fb-2f0b4909a370: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:37Z INFO [136/368] 0694ea10-f91f-4812-8dfb-b07ac270fc98: 202 groups; 1.0 s; peak memory 1082 MiB.
2026-09-18T22:09:38Z INFO [137/368] 06951bd4-070e-410a-988f-4be2c7799d7a: 207 groups; 1.2 s; peak memory 1082 MiB.
2026-09-18T22:09:40Z INFO [138/368] 0695bf89-7f3e-4641-aec3-4890e462aaf1: 50 groups; 1.7 s; peak memory 1082 MiB.
2026-09-18T22:09:41Z INFO [139/368] 0696455a-cfe2-4312-a3d6-b028ff5ea3eb: 36 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:09:47Z INFO [140/368] 069661eb-7824-4010-bbe1-cb3bf218ac4a: 200 groups; 6.3 s; peak memory 1082 MiB.
2026-09-18T22:09:48Z INFO [141/368] 0696c590-0c01-44f7-9c9c-801eace5d87d: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:09:48Z INFO [142/368] 06974da7-9166-4f1f-bfd0-50f5705ab1fd: 41 groups; 0.5 s; peak memory 1082 MiB.
2026-09-18T22:09:49Z INFO [143/368] 06985895-4eb7-4004-8fcd-cafb41ce8761: 35 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:50Z INFO [144/368] 069874f6-a203-45c4-a904-d8ac33082164: 207 groups; 1.0 s; peak memory 1082 MiB.
2026-09-18T22:09:51Z INFO [145/368] 06995c9a-893b-4235-b386-65bf579eafab: 48 groups; 1.4 s; peak memory 1082 MiB.
2026-09-18T22:09:52Z INFO [146/368] 069a0908-11ea-43fd-89c0-7161bb7a52a4: 35 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:11:05Z INFO [147/368] 069a3250-8ccd-4b02-85a3-da1e8284e601: 27 groups; 72.7 s; peak memory 1082 MiB.
2026-09-18T22:11:12Z INFO [148/368] 069a543e-c7e9-4015-987c-09fa1bbe122b: 220 groups; 6.7 s; peak memory 1082 MiB.
2026-09-18T22:11:12Z INFO [149/368] 069abc52-978a-4528-829b-957d9e6db292: 22 groups; 0.5 s; peak memory 1082 MiB.
2026-09-18T22:11:13Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:11:13Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: checkpointed 50051 records.
2026-09-18T22:11:13Z INFO [151/368] 069b8683-a0a8-41c1-a7ed-7f55d16264a4: 17 groups; 0.4 s; peak memory 1082 MiB.
2026-09-18T22:11:21Z INFO [152/368] 069bab1e-cbca-440c-87ee-d561e180749f: 164 groups; 7.6 s; peak memory 1082 MiB.
2026-09-18T22:11:21Z INFO [153/368] 069be5ca-4bce-4177-830b-a7e9b9395e78: 26 groups; 0.5 s; peak memory 1082 MiB.
2026-09-18T22:11:22Z INFO [154/368] 069c27ca-2242-42f4-9c61-d5b107ee62ce: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:11:23Z INFO [155/368] 069c474d-9118-429a-a69c-034d8070ad1f: 199 groups; 1.1 s; peak memory 1082 MiB.
2026-09-18T22:11:24Z INFO [156/368] 069cb574-8dd0-4c46-9c45-e73a673dc394: 103 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:11:25Z INFO [157/368] 069d7758-9d88-4420-b691-a4bec2692b76: 337 groups; 1.0 s; peak memory 1082 MiB.
2026-09-18T22:11:27Z INFO [158/368] 069da60f-2eeb-4c8d-8d11-6140332dd31f: 32 groups; 2.7 s; peak memory 1082 MiB.
2026-09-18T22:11:28Z INFO [159/368] 069df294-cf2f-4195-b6dd-cd7471f17930: 32 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:11:34Z INFO [160/368] 069ec362-d03a-4f3c-b126-45d035de7e56: 2098 groups; 6.1 s; peak memory 1082 MiB.
2026-09-18T22:11:35Z INFO [161/368] 069f0101-1f71-4217-ad91-6cecb3262a42: 21 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:11:36Z INFO [162/368] 06a07c0b-36cb-432a-a785-ae557877dc4a: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:11:36Z INFO [163/368] 06a0ca48-b819-4d49-8e4d-8ac0e0219a59: 25 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:11:37Z INFO [164/368] 06a1998b-ef7d-4390-aa1d-42ac2e7ea983: 22 groups; 0.5 s; peak memory 1082 MiB.
2026-09-18T22:11:37Z INFO [165/368] 06a2fb2e-48f7-4930-93d9-aeb6bfcce6e4: 32 groups; 0.6 s; peak memory 1082 MiB.
