2026-09-20T18:20:33Z INFO Logging to /tmp/logs/update_2026-09-20T18-20-33Z.log.
2026-09-20T18:20:33Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T18:20:33Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:31:59Z INFO [97/363] 0a62e368-b70a-4504-91f5-e439a558817b: 16 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:32:00Z INFO [98/363] 0a6365f8-c9b9-418e-9628-56fac7fae3a2: 207 groups; 1.5 s; peak memory 1123 MiB.
2026-09-20T18:32:01Z INFO [99/363] 0a641dee-6a01-42c5-80a4-4ab5e5c9a54e: 22 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:32:02Z INFO [100/363] 0a64ba62-f952-46ba-921f-6376c4f690be: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:32:02Z INFO [100/363] 0a64ba62-f952-46ba-921f-6376c4f690be: checkpointed 51867 records.
2026-09-20T18:32:03Z INFO [101/363] 0a65dc69-ad15-40be-a746-0af193b39963: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:32:03Z INFO [102/363] 0a6628e9-b386-4301-85d5-d389a5b2a333: 17 groups; 0.6 s; peak memory 1123 MiB.
2026-09-20T18:32:04Z INFO [103/363] 0a66ab88-6cdf-4beb-9846-a3f3443b4ee0: 25 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:32:05Z INFO [104/363] 0a672b5c-3c4d-4895-8f45-f0546d7f4c5b: 200 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:32:06Z INFO [105/363] 0a68ad89-ace2-4814-b543-015b06a87885: 104 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:32:08Z INFO [106/363] 0a68d5b1-ab7c-496e-96d9-bccb85952f61: 202 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:32:08Z INFO [107/363] 0a68d913-84a8-4e28-873d-1dee11ed142f: 28 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:32:09Z INFO [108/363] 0a699584-5903-41fe-8aa0-a0ea9aa2cd3f: 35 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:32:11Z INFO [109/363] 0a69d149-320f-49e3-a81d-5f843b104745: 53 groups; 1.5 s; peak memory 1123 MiB.
2026-09-20T18:32:12Z INFO [110/363] 0a6a669c-5666-4c92-9add-d46c733388b2: 16 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:32:13Z INFO [111/363] 0a6ab582-012b-4b00-83ae-f1a73694debf: 22 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:32:14Z INFO [112/363] 0a6b0764-f262-4205-a86b-665121eb8bba: 33 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:32:15Z INFO [113/363] 0a6b9053-376f-49ff-a88b-40bb3886bfac: 35 groups; 1.3 s; peak memory 1123 MiB.
2026-09-20T18:32:16Z INFO [114/363] 0a6bb48e-afcd-4632-a9e7-0716a081f3ad: 17 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:32:17Z INFO [115/363] 0a6c25bf-1019-4889-9864-9b180a62ff0b: 32 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:33:45Z INFO [116/363] 0a6cb1a6-2d3d-4e89-8901-32c392cf418f: 69 groups; 88.1 s; peak memory 1123 MiB.
2026-09-20T18:33:47Z INFO [117/363] 0a6cb1fa-cd25-4cc1-aad8-b36f26b753d8: 48 groups; 1.9 s; peak memory 1123 MiB.
2026-09-20T18:33:58Z INFO [118/363] 0a6dc924-6791-4eb4-9c0b-5a55b2d3bb8f: 78 groups; 11.2 s; peak memory 1123 MiB.
2026-09-20T18:33:59Z INFO [119/363] 0a6e7802-7c7a-46bc-a4d0-adf6aa50cd40: 32 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:34:00Z INFO [120/363] 0a6e7fb8-f07f-4ddb-8f36-58da19541841: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:34:01Z INFO [121/363] 0a6eca22-2c9d-4e04-8b6b-fd0187bd31f2: 27 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:34:03Z INFO [122/363] 0a6fd2fe-870a-4981-a036-4bb50610ca29: 63 groups; 2.0 s; peak memory 1123 MiB.
2026-09-20T18:34:04Z INFO [123/363] 0a6fef21-add6-46bc-adc7-07e2fa2f8f37: 33 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:34:14Z INFO [124/363] 0a701d7b-48e0-4ae6-b506-38523d282d24: 223 groups; 9.8 s; peak memory 1123 MiB.
2026-09-20T18:34:15Z INFO [125/363] 0a713043-cb10-4ef6-a41d-43b404ca52a5: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:34:32Z INFO [126/363] 0a729527-5239-451a-9e9f-d8b864304050: 333 groups; 16.8 s; peak memory 1123 MiB.
2026-09-20T18:34:33Z INFO [127/363] 0a736741-c67e-41d0-b17b-890e7aab1c0d: 32 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:34:34Z INFO [128/363] 0a7490ea-a982-4364-92db-7976e55f9061: 193 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:34:36Z INFO [129/363] 0a74d166-83a6-4307-9005-392d60435e1b: 338 groups; 1.9 s; peak memory 1123 MiB.
2026-09-20T18:34:37Z INFO [130/363] 0a74e9d2-bbae-4414-ab9b-2a4ff95db722: 31 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:34:38Z INFO [131/363] 0a74f70d-69ef-4f88-8f50-3a50b8464cdf: 32 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:34:42Z INFO [132/363] 0a7688fd-57f7-48c2-a06b-798e6aa3d8ca: 78 groups; 3.6 s; peak memory 1123 MiB.
2026-09-20T18:34:43Z INFO [133/363] 0a7756d8-a4b2-4027-8125-c7ea6a661689: 31 groups; 1.3 s; peak memory 1123 MiB.
2026-09-20T18:34:46Z INFO [134/363] 0a77ad71-a42a-4870-ad7d-259dc0aa2cdf: 50 groups; 2.4 s; peak memory 1123 MiB.
2026-09-20T18:34:46Z INFO [135/363] 0a78d4c6-2e47-4c32-a839-8307b9facaca: 22 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:34:47Z INFO [136/363] 0a792a0e-0484-4d83-963d-d0016d3e0ad5: 22 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:34:48Z INFO [137/363] 0a797f79-5b2d-49e8-aff9-bf53e378a0de: 32 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:34:52Z INFO [138/363] 0a7b563c-3781-49c6-93e9-ba671709f500: 78 groups; 3.8 s; peak memory 1123 MiB.
2026-09-20T18:34:57Z INFO [139/363] 0a7b7dd6-2675-41e5-8251-a1244b364328: 66 groups; 5.2 s; peak memory 1123 MiB.
2026-09-20T18:34:58Z INFO [140/363] 0a7bb020-d04c-4956-9407-7e71a1433918: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:34:59Z INFO [141/363] 0a7cb91e-5e6b-4856-bf64-ac1b07888439: 22 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:35:01Z INFO [142/363] 0a7d0d2c-3641-4a88-9230-79e957d312f0: 50 groups; 2.2 s; peak memory 1123 MiB.
2026-09-20T18:35:02Z INFO [143/363] 0a7dc89c-1423-4b94-8c13-d3b264ad0efa: 28 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:35:03Z INFO [144/363] 0a7dd5bc-1456-43ea-bc3d-9d996a1da34f: 35 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:35:05Z INFO [145/363] 0a7ddf3f-95f3-43d4-ab54-d2c9414b2e21: 51 groups; 2.4 s; peak memory 1123 MiB.
2026-09-20T18:35:36Z INFO [146/363] 0a7f0a16-6600-4837-95f6-b976849e60e4: 1758 groups; 30.8 s; peak memory 1123 MiB.
2026-09-20T18:35:43Z INFO [147/363] 0a7f10dc-be3f-40f4-9f0b-307043658548: 171 groups; 7.0 s; peak memory 1123 MiB.
2026-09-20T18:35:44Z INFO [148/363] 0a7fa69f-cbb0-4984-8de9-d243c1afa2f9: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:35:52Z INFO [149/363] 0a80bda8-220b-422e-80c1-4cfdaf8e99df: 153 groups; 8.2 s; peak memory 1123 MiB.
2026-09-20T18:35:53Z INFO [150/363] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: 26 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:35:53Z INFO [150/363] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: checkpointed 51917 records.
2026-09-20T18:35:54Z INFO [151/363] 0a81ecdb-c7a4-4db1-8d29-6a34e3ba4c6b: 36 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:35:55Z INFO [152/363] 0a82102a-794e-4950-987f-cbce9f9be474: 22 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:35:58Z INFO [153/363] 0a8341eb-038b-4ffa-9c64-3d4cf0047732: 30 groups; 2.9 s; peak memory 1123 MiB.
2026-09-20T18:35:59Z INFO [154/363] 0a8350da-eb46-4fc8-8390-3c52eed3ca98: 25 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:36:00Z INFO [155/363] 0a8386d6-1ff1-47bc-b6cd-cfac8fc776f4: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:36:07Z INFO [156/363] 0a84461c-181f-4f46-b1a4-a4642fef65ff: 178 groups; 7.1 s; peak memory 1123 MiB.
2026-09-20T18:36:08Z INFO [157/363] 0a84bf03-c7c5-42f6-b5ef-8de387365d2c: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:36:09Z INFO [158/363] 0a84e4ef-6db1-430d-8487-1db639d7766b: 203 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:36:20Z INFO [159/363] 0a85baad-b893-44de-9b73-e1c7f97968aa: 300 groups; 10.6 s; peak memory 1123 MiB.
2026-09-20T18:36:21Z INFO [160/363] 0a86ba9e-9586-49a8-8b9a-16c96a1e76f2: 32 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:36:22Z INFO [161/363] 0a877886-28af-402a-9e02-d13dd3b04484: 16 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:36:28Z INFO [162/363] 0a87c2d2-d2d6-4f59-aec8-446a3097507e: 210 groups; 5.8 s; peak memory 1123 MiB.
2026-09-20T18:36:30Z INFO [163/363] 0a885379-ef0c-418e-940c-d424b99fc169: 50 groups; 2.7 s; peak memory 1123 MiB.
2026-09-20T18:36:31Z INFO [164/363] 0a88c6d1-bd94-4b2d-a3ce-7367ee2e0b4f: 30 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:36:32Z INFO [165/363] 0a89b310-78a2-4bb8-b9a0-f06f64ce2d6e: 16 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:36:32Z INFO [166/363] 0a8a7a4c-f121-4508-88b6-6b9518d2b045: 30 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:36:33Z INFO [167/363] 0a8bd1ca-b118-4971-ab9f-41085918b2de: 194 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:36:34Z INFO [168/363] 0a8bfeab-0cd5-4599-a43b-fa30f7cea325: 22 groups; 0.8 s; peak memory 1123 MiB.
2026-09-20T18:36:51Z INFO [169/363] 0a8c3be7-f5b3-4c8f-9504-82417230ddd5: 86 groups; 17.0 s; peak memory 1123 MiB.
2026-09-20T18:36:52Z INFO [170/363] 0a8c8b4c-ae83-42c6-a941-869332c709b1: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:36:53Z INFO [171/363] 0a8ed172-bbb9-403b-a01f-f138715d5eb3: 35 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:36:54Z INFO [172/363] 0a8f38e1-c7ba-4175-b0a5-f2a30e88eccf: 22 groups; 0.9 s; peak memory 1123 MiB.
