2026-09-20T21:57:25Z INFO Logging to /tmp/logs/update_2026-09-20T21-57-25Z.log.
2026-09-20T21:57:25Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T21:57:25Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:58:27Z INFO [94/369] 0b32e366-4d8c-4116-be6c-81e7208b3f36: 48 groups; 2.1 s; peak memory 1122 MiB.
2026-09-20T22:58:29Z INFO [95/369] 0b332bc1-b791-45ec-9631-f7ca05530231: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:58:30Z INFO [96/369] 0b33619d-020b-4094-b647-112caa8ab693: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:58:32Z INFO [97/369] 0b336393-ee2a-41b3-b363-fd1d6efe0c5d: 32 groups; 1.7 s; peak memory 1122 MiB.
2026-09-20T22:58:34Z INFO [98/369] 0b338f75-e1f8-444f-bd23-b8d8518cf2ec: 35 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T22:58:52Z INFO [99/369] 0b34330d-2c83-4f10-b294-9aabe6004bb9: 23 groups; 18.6 s; peak memory 1122 MiB.
2026-09-20T22:58:54Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: 34 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T22:58:54Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: checkpointed 52230 records.
2026-09-20T22:58:55Z INFO [101/369] 0b34c2a6-c2f5-436e-bedd-08ff1cfff808: 22 groups; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:58:58Z INFO [102/369] 0b3547b2-1a38-4488-a736-59bd0cbe2897: 35 groups; 2.2 s; peak memory 1122 MiB.
2026-09-20T22:58:59Z INFO [103/369] 0b359c34-a945-483e-a518-44f3e5255e7f: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T22:59:01Z INFO [104/369] 0b3608b7-b509-4f69-84e8-8e60f5184c42: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:59:03Z INFO [105/369] 0b36f13d-9ddc-42e3-ab7f-d5b148dfa5cd: 35 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T22:59:12Z INFO [106/369] 0b380c64-939d-4092-8f4e-a2310ae85ab5: 63 groups; 9.4 s; peak memory 1122 MiB.
2026-09-20T22:59:13Z INFO [107/369] 0b39222d-8556-4f68-aa49-363144913a60: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:59:15Z INFO [108/369] 0b39b14c-add7-4ad6-ae87-242a0d56547a: 108 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T22:59:17Z INFO [109/369] 0b39f342-a2a4-477c-807a-9659ef3b03ee: 32 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T22:59:21Z INFO [110/369] 0b3a64b2-8589-4307-8493-336707bdfe21: 50 groups; 3.9 s; peak memory 1122 MiB.
2026-09-20T22:59:22Z INFO [111/369] 0b3b86fd-3a30-44fb-9b07-6d365bbcfe20: 30 groups; 1.1 s; peak memory 1122 MiB.
2026-09-20T22:59:39Z INFO [112/369] 0b3c9831-4a16-457a-a260-9d11ad6313b5: 212 groups; 17.1 s; peak memory 1122 MiB.
2026-09-20T22:59:41Z INFO [113/369] 0b3d8149-7e69-4fb2-91d3-8d2afe09b719: 32 groups; 1.7 s; peak memory 1122 MiB.
2026-09-20T22:59:42Z INFO [114/369] 0b3da296-e1cf-40ba-aac2-7a2fecec7df6: 22 groups; 1.4 s; peak memory 1122 MiB.
