2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:22:25Z INFO [118/374] 0507d7b0-0ec2-4525-9470-6aaa87d8fdcf: 46 groups; 1.5 s; peak memory 402 MiB.
2026-09-18T15:22:26Z INFO [119/374] 0507e94a-1459-44cf-b181-5e1afe3d5f66: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:22:26Z INFO [120/374] 05081903-4c28-4e19-b2b6-46adebe3e3c0: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:27Z INFO [121/374] 05089a79-0ec8-43ef-919d-538b8cd985a7: 32 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:28Z INFO [122/374] 050b4e2d-c483-42e1-a84d-14373380562b: 48 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:22:29Z INFO [123/374] 050d2356-e146-46ef-8023-d24420dcdf12: 23 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:30Z INFO [124/374] 050d4416-08a1-493e-b091-0220b46540f3: 54 groups; 1.3 s; peak memory 402 MiB.
2026-09-18T15:22:31Z INFO [125/374] 050e0508-e634-4dc7-9102-6121039a88e8: 32 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:22:37Z INFO [126/374] 050ffb22-b1fe-4110-9e76-62595555d2c9: 33 groups; 5.9 s; peak memory 402 MiB.
2026-09-18T15:22:38Z INFO [127/374] 0510ea5f-8bb1-4ddb-baf5-53a9fd0b0334: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:22:38Z INFO [128/374] 051256ac-2622-449f-9625-7ea4d684349a: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:39Z INFO [129/374] 051288c6-590a-490b-9061-2764eb5a4189: 32 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:40Z INFO [130/374] 0512e21a-5458-4206-92d4-2ce31622622a: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:40Z INFO [131/374] 0513128f-8da9-4fda-9bf1-09e551d2f532: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:41Z INFO [132/374] 05136dcf-557a-409d-96db-5a4e20291b1f: 30 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:24:14Z INFO [133/374] 0513c38a-3eee-4553-9e27-a50af4138ff9: 77 groups; 93.2 s; peak memory 402 MiB.
2026-09-18T15:24:27Z INFO [134/374] 0513cce0-d56c-4434-a831-fd84da3fad73: 23 groups; 13.2 s; peak memory 402 MiB.
2026-09-18T15:24:30Z INFO [135/374] 05144f3c-8f2b-46ea-9543-eb29dd13be94: 78 groups; 3.1 s; peak memory 402 MiB.
2026-09-18T15:24:31Z INFO [136/374] 0514f007-a890-4e83-b0a5-69b9de319ac3: 202 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:24:37Z INFO [137/374] 05156443-e952-4f78-95d6-1234cbc9d0a8: 205 groups; 6.2 s; peak memory 402 MiB.
2026-09-18T15:24:38Z INFO [138/374] 0515698a-ba7f-491c-b7a4-36ac259a247d: 32 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:24:39Z INFO [139/374] 05163ed0-c6f2-4e21-8c86-2ce72651b103: 17 groups; 1.4 s; peak memory 402 MiB.
2026-09-18T15:24:40Z INFO [140/374] 05164ea7-da9f-455b-a82c-7a922938d2d8: 32 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:24:41Z INFO [141/374] 05179b9d-5a97-4eb5-9768-964b0b8a9d07: 20 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:41Z INFO [142/374] 0517c7a3-d041-42a4-bf0e-404aae292ed2: 16 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:24:42Z INFO [143/374] 0517e2a4-3fef-4792-9028-167e59d43fa4: 33 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:24:43Z INFO [144/374] 0518061f-53eb-4891-ad0b-fabfbc05c9ce: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:43Z INFO [145/374] 05183659-fd91-448a-8c5b-2ed920235cf7: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:44Z INFO [146/374] 0518f1f4-df62-4a59-8738-41ec0836899e: 16 groups; 0.4 s; peak memory 402 MiB.
2026-09-18T15:24:45Z INFO [147/374] 051987e9-a292-42ab-964b-f0fcfb10ca3a: 35 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:46Z INFO [148/374] 051a1b67-2995-4226-94c1-cf4715884f40: 207 groups; 1.2 s; peak memory 402 MiB.
2026-09-18T15:24:51Z INFO [149/374] 051a509c-49ff-4665-9275-e9e260e17c10: 199 groups; 4.9 s; peak memory 402 MiB.
2026-09-18T15:24:51Z INFO [150/374] 051b1694-3d04-4e5b-8ce4-c62accf072a3: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:52Z INFO [150/374] 051b1694-3d04-4e5b-8ce4-c62accf072a3: checkpointed 49302 records.
2026-09-18T15:24:52Z INFO [151/374] 051b1705-46eb-412c-980a-e99eaa22225d: 22 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:24:54Z INFO [152/374] 051cc117-2547-4be4-84c3-475570ca9fd2: 46 groups; 1.5 s; peak memory 402 MiB.
2026-09-18T15:24:54Z INFO [153/374] 051d1195-6de3-4853-bf26-4c7b31c06fd5: 22 groups; 0.6 s; peak memory 402 MiB.
