2026-09-24T15:58:39Z INFO Logging to /tmp/logs/update_2026-09-24T15-58-39Z.log.
2026-09-24T15:58:39Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-24T15:58:39Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:09:19Z INFO [131/371] 12c551f8-d824-433c-97c8-5fb86cef2584: 35 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:09:21Z INFO [132/371] 12c57e7b-9832-4f5a-b45a-f399ec28b1e4: 32 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:09:22Z INFO [133/371] 12c5e3da-c0a9-4288-b1ea-0d36af4f0171: 29 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:09:23Z INFO [134/371] 12c6d455-18d3-41d9-b16b-c4bebaba874d: 29 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:09:24Z INFO [135/371] 12c6d862-080c-420a-af1f-66aad06293fc: 32 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:09:25Z INFO [136/371] 12c70ee6-f562-4093-9ba8-63cfd1859179: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:09:27Z INFO [137/371] 12c806dd-bbe0-4733-acd9-0cdd3719df2f: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:09:28Z INFO [138/371] 12c87de7-bc37-4e50-bd5d-1013835678fa: 16 groups; 0.8 s; peak memory 300 MiB.
2026-09-24T16:09:29Z INFO [139/371] 12c92aa1-f07a-49c0-8b2f-151a5bbc2bc2: 32 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:09:30Z INFO [140/371] 12c99230-73c2-40a8-ba72-c517e77b8eb0: 36 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:09:31Z INFO [141/371] 12c9b46b-09bb-42e9-b101-d3e4050100de: 32 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:09:33Z INFO [142/371] 12c9d898-79ba-40e9-8287-f1eae4e5aec7: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:09:51Z INFO [143/371] 12ca12c6-1b15-442c-98c2-24cbfff86327: 235 groups; 18.3 s; peak memory 300 MiB.
2026-09-24T16:10:10Z INFO [144/371] 12ca7689-5383-44a5-a876-23d6b06993fa: 23 groups; 19.4 s; peak memory 300 MiB.
2026-09-24T16:10:11Z INFO [145/371] 12ca9145-1f4e-4031-872a-13a911468979: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:10:13Z INFO [146/371] 12cb1c42-8ea5-4baf-94fd-9f595aa13ef3: 18 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:10:14Z INFO [147/371] 12cbb7d0-819c-45f1-b474-bf1b64fcdb2c: 41 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:10:17Z INFO [148/371] 12cbc261-75ed-48e3-b35f-d96477a7561b: 49 groups; 3.0 s; peak memory 300 MiB.
2026-09-24T16:10:19Z INFO [149/371] 12cbc77f-40c0-481d-ab97-0e94b00341bf: 32 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:10:20Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: 22 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:10:20Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: checkpointed 55948 records.
2026-09-24T16:10:21Z INFO [151/371] 12cca1fc-d55c-4de3-9713-782342706c2f: 253 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:10:23Z INFO [152/371] 12cdd38a-d738-4201-920f-5f939087b2c4: 48 groups; 2.3 s; peak memory 300 MiB.
2026-09-24T16:10:45Z INFO [153/371] 12ce0264-2ee1-4104-a9dd-ac0f148ba059: 34 groups; 21.8 s; peak memory 300 MiB.
2026-09-24T16:10:47Z INFO [154/371] 12ceb313-e880-4cad-bc23-548eb32e9d0c: 252 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:10:48Z INFO [155/371] 12cf3e0b-8c11-4b63-8140-69b2ac5e6066: 32 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:10:53Z INFO [156/371] 12d08f77-07ed-4b9e-936c-b5c31a4ff21f: 71 groups; 5.5 s; peak memory 300 MiB.
2026-09-24T16:10:55Z INFO [157/371] 12d0cb6f-1cc2-4358-be69-439b9817c0a1: 35 groups; 1.6 s; peak memory 300 MiB.
2026-09-24T16:10:58Z INFO [158/371] 12d0e467-8eae-483f-b4aa-13e59646c177: 50 groups; 3.1 s; peak memory 300 MiB.
2026-09-24T16:10:59Z INFO [159/371] 12d2cac3-ae00-432e-959c-e7fc04e718c7: 22 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:11:05Z INFO [160/371] 12d30258-a0d3-40b6-8259-3c1459b4f467: 155 groups; 5.8 s; peak memory 300 MiB.
2026-09-24T16:11:11Z INFO [161/371] 12d3ca17-e4d7-446f-8f98-d65bbdcb4e8f: 85 groups; 6.3 s; peak memory 300 MiB.
2026-09-24T16:11:13Z INFO [162/371] 12d3e591-ed27-4b78-8dc9-3b5bcfa74372: 35 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:11:14Z INFO [163/371] 12d4beb6-4236-4174-95b8-853c5e0d3d2f: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:11:15Z INFO [164/371] 12d4cba8-1f84-4a51-82af-175542cf541e: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:11:16Z INFO [165/371] 12d5aff7-6fcd-404d-bb63-e8d9b54ec532: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:11:17Z INFO [166/371] 12d5d0a7-b3e9-4294-9bd4-02c968f54230: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:11:18Z INFO [167/371] 12d60adb-02ee-44ee-8368-f5837b929562: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:11:19Z INFO [168/371] 12d7d4b4-32d6-4044-99a2-da1c04dd13e8: 22 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:11:21Z INFO [169/371] 12d82f30-a07f-4206-a0ce-fffcd3046a4d: 33 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:11:22Z INFO [170/371] 12d8d8f4-3f99-4df6-8f4c-ccd4436ad486: 24 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:11:23Z INFO [171/371] 12d8f75c-7ac6-43f1-8fbd-4570c66692e4: 206 groups; 1.7 s; peak memory 300 MiB.
2026-09-24T16:11:24Z INFO [172/371] 12d95e48-b757-4137-afbe-9578c60814d5: 30 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:11:25Z INFO [173/371] 12d970ae-a1d9-41f0-8965-5923a94b87b5: 30 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:11:34Z INFO [174/371] 12d990ac-b455-4765-917d-c94928b891e8: 164 groups; 8.8 s; peak memory 300 MiB.
2026-09-24T16:11:35Z INFO [175/371] 12d9a655-eee7-4889-982d-f4dd2e025f9a: 32 groups; 1.3 s; peak memory 300 MiB.
