2026-09-26T15:10:48Z INFO Logging to /tmp/logs/update_2026-09-26T15-10-48Z.log.
2026-09-26T15:10:48Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-26T15:10:48Z INFO Processing 384 items (58022 already recorded).
2026-09-26T15:32:47Z INFO [131/384] 175b3df1-c3ce-4927-97cc-a3c638123b72: 195 groups; 1.6 s; peak memory 1226 MiB.
2026-09-26T15:32:48Z INFO [132/384] 175b924a-1ba3-4b79-b5ec-7819929bc346: 195 groups; 1.7 s; peak memory 1226 MiB.
2026-09-26T15:32:50Z INFO [133/384] 175c8695-cfb8-4267-991d-3a20b0f9b0c9: 25 groups; 1.4 s; peak memory 1226 MiB.
2026-09-26T15:34:03Z INFO [134/384] 175ca259-439b-438e-a4de-dbd176ac2ad5: 30 groups; 72.9 s; peak memory 1226 MiB.
2026-09-26T15:34:04Z INFO [135/384] 175caf5f-be42-4086-bc8e-b188ab601097: 22 groups; 1.2 s; peak memory 1226 MiB.
2026-09-26T15:34:05Z INFO [136/384] 175d049a-b523-4ee8-b653-e6cf0465153f: 22 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:34:07Z INFO [137/384] 175df589-1ea4-4aa5-9180-b0df305fe7bb: 70 groups; 1.7 s; peak memory 1226 MiB.
2026-09-26T15:34:08Z INFO [138/384] 175e7e2c-f6e2-4618-bcf3-c68581b5b13d: 28 groups; 1.3 s; peak memory 1226 MiB.
2026-09-26T15:34:15Z INFO [139/384] 175e8731-2543-45df-b6a9-97e77feda718: 181 groups; 7.0 s; peak memory 1226 MiB.
2026-09-26T15:34:16Z INFO [140/384] 175ed717-e5e5-470b-9b59-e969d2d84335: 18 groups; 0.9 s; peak memory 1226 MiB.
2026-09-26T15:34:22Z INFO [141/384] 175f0876-7c47-4cd2-bd5c-9e6cd4e2ca2a: 47 groups; 6.3 s; peak memory 1226 MiB.
2026-09-26T15:34:26Z INFO [142/384] 175f22db-c219-4667-8c26-bded68d5c13d: 50 groups; 3.6 s; peak memory 1226 MiB.
2026-09-26T15:34:27Z INFO [143/384] 175f374d-ea9e-4e03-8bdf-4a84d17181ca: 16 groups; 0.9 s; peak memory 1226 MiB.
2026-09-26T15:34:33Z INFO [144/384] 175f8208-4482-4910-9e3c-6ef1e6aca07b: 66 groups; 6.0 s; peak memory 1226 MiB.
2026-09-26T15:34:34Z INFO [145/384] 1761636c-1b99-4d27-8a03-57351bff3cef: 22 groups; 1.2 s; peak memory 1226 MiB.
2026-09-26T15:34:35Z INFO [146/384] 1761e0de-2194-4982-a1c2-ff1a3f678224: 22 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:34:40Z INFO [147/384] 17622f60-43b3-4255-b374-9a33cd33bbb3: 112 groups; 5.0 s; peak memory 1226 MiB.
2026-09-26T15:34:42Z INFO [148/384] 1762a692-9277-4fb0-b579-9f8dab3899e3: 30 groups; 1.4 s; peak memory 1226 MiB.
2026-09-26T15:34:47Z INFO [149/384] 176324a3-6a79-44f0-a069-059aa9df9aa3: 73 groups; 5.6 s; peak memory 1226 MiB.
2026-09-26T15:34:49Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: 336 groups; 2.4 s; peak memory 1226 MiB.
2026-09-26T15:34:50Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: checkpointed 58172 records.
2026-09-26T15:34:55Z INFO [151/384] 176487cd-2202-40c0-a792-77155657088c: 78 groups; 5.4 s; peak memory 1226 MiB.
2026-09-26T15:34:56Z INFO [152/384] 1765021c-6035-4154-b448-8e9d64aab579: 16 groups; 0.9 s; peak memory 1226 MiB.
2026-09-26T15:34:57Z INFO [153/384] 17652a82-f9f8-4523-b0a1-dac27b494d01: 22 groups; 1.2 s; peak memory 1226 MiB.
2026-09-26T15:35:00Z INFO [154/384] 17654cec-4dc5-4e81-975d-304f1a8ff7e2: 48 groups; 2.9 s; peak memory 1226 MiB.
2026-09-26T15:35:01Z INFO [155/384] 17657de4-da99-4816-b2ad-a3e763b0a0d9: 256 groups; 1.5 s; peak memory 1226 MiB.
2026-09-26T15:35:03Z INFO [156/384] 17663eef-3cff-43e8-ac5a-ad2a010f6569: 32 groups; 1.5 s; peak memory 1226 MiB.
2026-09-26T15:35:04Z INFO [157/384] 176678bd-da74-4357-9d5a-f2310a6e169d: 22 groups; 1.3 s; peak memory 1226 MiB.
2026-09-26T15:35:17Z INFO [158/384] 17671def-c778-4d5a-be06-2b29871a4c98: 231 groups; 12.7 s; peak memory 1226 MiB.
2026-09-26T15:35:18Z INFO [159/384] 1768952a-5a89-4975-9513-14fef4d32e5b: 36 groups; 1.5 s; peak memory 1226 MiB.
2026-09-26T15:35:20Z INFO [160/384] 1768e430-8c7d-4994-98a7-09bb72819ac6: 32 groups; 1.5 s; peak memory 1226 MiB.
2026-09-26T15:35:22Z INFO [161/384] 17690fb6-89df-4eaf-9c8d-a6412aa6267c: 33 groups; 1.8 s; peak memory 1226 MiB.
2026-09-26T15:35:23Z INFO [162/384] 176969f1-3efa-4127-accb-adeca12d6165: 28 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:35:32Z INFO [163/384] 17699963-e94f-4134-b867-15b516a7aff4: 153 groups; 9.5 s; peak memory 1226 MiB.
2026-09-26T15:35:34Z INFO [164/384] 176a4169-3f41-4c64-a801-f6ce090c6940: 22 groups; 1.2 s; peak memory 1226 MiB.
2026-09-26T15:35:36Z INFO [165/384] 176ac97f-71c0-43de-9f4b-a64c3c66c658: 35 groups; 2.0 s; peak memory 1226 MiB.
2026-09-26T15:35:37Z INFO [166/384] 176b13e6-37ac-4bc2-9035-64531e8e8aef: 35 groups; 1.7 s; peak memory 1226 MiB.
2026-09-26T15:35:38Z INFO [167/384] 176b5466-5310-4ade-81c8-d4cb72852b6b: 22 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:35:40Z INFO [168/384] 176b584c-be42-4ce2-98e9-89830806f3e1: 202 groups; 1.6 s; peak memory 1226 MiB.
2026-09-26T15:35:41Z INFO [169/384] 176bbbf4-f5c5-4c84-8fd0-d7cd108faa72: 22 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:35:42Z INFO [170/384] 176bc9ca-876b-44e7-b6fa-f083f07c1058: 22 groups; 1.3 s; peak memory 1226 MiB.
2026-09-26T15:35:45Z INFO [171/384] 176c0b52-d34f-4545-badc-9c4db071a32f: 338 groups; 2.3 s; peak memory 1226 MiB.
2026-09-26T15:35:54Z INFO [172/384] 176c4111-9a62-4de3-9003-0303080072d6: 50 groups; 9.1 s; peak memory 1226 MiB.
2026-09-26T15:36:12Z INFO [173/384] 176c5877-bfb4-457d-bedb-6a14c4fd6af3: 23 groups; 18.4 s; peak memory 1226 MiB.
2026-09-26T15:36:13Z INFO [174/384] 176d25f3-2117-4ebf-8729-bd9135e7a45a: 28 groups; 1.1 s; peak memory 1226 MiB.
2026-09-26T15:36:15Z INFO [175/384] 176d671a-7263-4cca-a802-107469f1cb3f: 32 groups; 1.5 s; peak memory 1226 MiB.
2026-09-26T15:36:16Z INFO [176/384] 176e4780-b9e8-4ba8-b8a1-dd5ab82cbc69: 32 groups; 1.3 s; peak memory 1226 MiB.
