2026-09-21T21:17:01Z INFO Logging to /tmp/logs/update_2026-09-21T21-17-01Z.log.
2026-09-21T21:17:01Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T21:17:01Z INFO Processing 356 items (52866 already recorded).
2026-09-21T21:32:02Z INFO [132/356] 0cc6c406-fd42-4177-ab33-42b5d39a5c7a: 17 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:32:03Z INFO [133/356] 0cc8a28c-60cb-41dc-8403-0849bb3b6db7: 33 groups; 1.6 s; peak memory 1123 MiB.
2026-09-21T21:32:05Z INFO [134/356] 0cc9db5e-e6fb-4cb9-8b8d-d8c28720f148: 22 groups; 1.1 s; peak memory 1123 MiB.
2026-09-21T21:32:05Z INFO [135/356] 0cca56eb-69cc-40e5-ae3c-11b6007516f7: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:32:23Z INFO [136/356] 0ccae657-a46d-4148-9d86-de67833e1ef3: 23 groups; 17.3 s; peak memory 1123 MiB.
2026-09-21T21:32:24Z INFO [137/356] 0ccb5a58-6abd-4681-b37b-f338b5a99279: 17 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:32:25Z INFO [138/356] 0ccd16e3-ef1a-4015-804a-0db8ff95f1ef: 32 groups; 1.3 s; peak memory 1123 MiB.
2026-09-21T21:32:26Z INFO [139/356] 0ccd3b5c-5f4a-4a10-970c-d4bd90c6e846: 32 groups; 1.3 s; peak memory 1123 MiB.
2026-09-21T21:32:28Z INFO [140/356] 0ccd9b2e-9aa3-46d5-8f99-aa5ce0bda872: 32 groups; 1.3 s; peak memory 1123 MiB.
2026-09-21T21:32:30Z INFO [141/356] 0ccdfb58-7a56-4c9b-a45b-e222b9f0777f: 33 groups; 1.9 s; peak memory 1123 MiB.
2026-09-21T21:32:31Z INFO [142/356] 0ccdfc04-0040-412f-bd16-f7bb478b4f56: 35 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:32:32Z INFO [143/356] 0cce0da8-a454-4ff7-8670-01104465a18f: 18 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:32:33Z INFO [144/356] 0cce202c-411a-413d-bd5c-e4b4d4b4839d: 22 groups; 1.2 s; peak memory 1123 MiB.
2026-09-21T21:32:34Z INFO [145/356] 0cce4594-6f28-4b71-853b-761bf761b198: 16 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:32:38Z INFO [146/356] 0ccfeb40-4d35-4283-9f37-d80020df3176: 78 groups; 4.3 s; peak memory 1123 MiB.
2026-09-21T21:32:39Z INFO [147/356] 0cd0935b-eb4a-4056-b772-8e7be884e767: 22 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:32:41Z INFO [148/356] 0cd0c344-306e-4238-8896-fcad7a40bd63: 194 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:32:42Z INFO [149/356] 0cd137a3-ca08-4267-81aa-96b3236acf3d: 22 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:32:43Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:32:43Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: checkpointed 53016 records.
2026-09-21T21:32:50Z INFO [151/356] 0cd16cc3-ac83-461b-a110-2655c05fcbae: 71 groups; 6.8 s; peak memory 1123 MiB.
2026-09-21T21:32:51Z INFO [152/356] 0cd1f00c-1924-4118-91cc-d956d9da5f16: 32 groups; 1.2 s; peak memory 1123 MiB.
2026-09-21T21:32:52Z INFO [153/356] 0cd21d3e-1591-49e2-807c-a79b370307a9: 22 groups; 1.1 s; peak memory 1123 MiB.
2026-09-21T21:32:54Z INFO [154/356] 0cd3c0b7-befa-4a16-b24e-86adf64299f2: 33 groups; 1.6 s; peak memory 1123 MiB.
2026-09-21T21:32:55Z INFO [155/356] 0cd5c7aa-37e4-4d41-a510-5b1c7cc8fabc: 32 groups; 1.4 s; peak memory 1123 MiB.
2026-09-21T21:32:56Z INFO [156/356] 0cd5e642-4064-4829-a62c-afeb4a4be98e: 35 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:32:57Z INFO [157/356] 0cd7d428-1b53-483f-b066-3439c2585bd9: 22 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:32:59Z INFO [158/356] 0cd8d370-a436-47b5-9e50-4b518c1a234d: 32 groups; 1.6 s; peak memory 1123 MiB.
2026-09-21T21:33:09Z INFO [159/356] 0cd9dcc9-0508-4bfe-a217-7e0946f17926: 112 groups; 10.1 s; peak memory 1123 MiB.
2026-09-21T21:33:11Z INFO [160/356] 0cda32c1-f8bd-43a5-8343-91acaf903acc: 35 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:33:17Z INFO [161/356] 0cdb59f5-5c0f-4cb8-a2b9-85029f87379a: 181 groups; 6.2 s; peak memory 1123 MiB.
2026-09-21T21:33:18Z INFO [162/356] 0cdb73c9-3b3b-4654-b34c-1217879b0484: 22 groups; 1.1 s; peak memory 1123 MiB.
2026-09-21T21:33:19Z INFO [163/356] 0cdbcd84-424e-4a1b-88a3-8ab4daffdf46: 22 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:33:20Z INFO [164/356] 0cdc095b-03bc-4cf4-9a4c-a1cec815b236: 22 groups; 1.2 s; peak memory 1123 MiB.
2026-09-21T21:33:21Z INFO [165/356] 0cdc1bd3-fdc9-4e45-ae5e-c89b9d1d5bae: 18 groups; 0.9 s; peak memory 1123 MiB.
2026-09-21T21:33:22Z INFO [166/356] 0cdcb4a2-8039-4e15-84b4-ef80b03d3e22: 16 groups; 0.8 s; peak memory 1123 MiB.
2026-09-21T21:33:23Z INFO [167/356] 0cdccbd7-7593-413c-a011-abfa7c5ea3f2: 33 groups; 1.1 s; peak memory 1123 MiB.
2026-09-21T21:33:24Z INFO [168/356] 0cdcdff2-c8cc-495b-a8f0-00245357af75: 32 groups; 1.3 s; peak memory 1123 MiB.
2026-09-21T21:33:25Z INFO [169/356] 0cdd32e2-b4fa-4dc9-842e-cf9a8111d4e0: 28 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:33:26Z INFO [170/356] 0cdd4f0c-21a9-45d0-92bd-f07d11f5eff4: 30 groups; 1.0 s; peak memory 1123 MiB.
2026-09-21T21:33:28Z INFO [171/356] 0cde1b68-3468-4d1e-b975-ac36a7276dfd: 195 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:33:29Z INFO [172/356] 0cde5686-7487-4305-8996-143677f9e7a2: 35 groups; 1.5 s; peak memory 1123 MiB.
2026-09-21T21:33:34Z INFO [173/356] 0cde5a57-630b-4183-8b50-cb343297b31e: 76 groups; 5.1 s; peak memory 1123 MiB.
