2026-09-13T15:08:06Z INFO Logging to /tmp/logs/update_2026-09-13T15-08-06Z.log.
2026-09-13T15:08:07Z INFO Processing 356 newly valid content IDs.
2026-09-13T15:11:35Z INFO [116/356] 4eabbee0-f747-4449-b361-ad41ce98e63c: 99 groups (HDF5, 3.6 MB; 0.7 s; peak memory 282 MiB)
2026-09-13T15:11:36Z INFO [117/356] 4fa5e632-7620-4d07-bf34-ae08acd93c80: 48 groups (HDF5, 191.5 MB; 1.2 s; peak memory 282 MiB)
2026-09-13T15:11:37Z INFO [118/356] 4ffc6453-145d-4d3f-b72c-01b5d5f221f6: 32 groups (HDF5, 1.2 MB; 0.7 s; peak memory 282 MiB)
2026-09-13T15:11:38Z INFO [119/356] 503582fe-c1a3-493d-b706-94a45ee739dd: 35 groups (HDF5, 1.6 MB; 0.9 s; peak memory 282 MiB)
2026-09-13T15:11:40Z INFO [120/356] 50d1fe7d-3f2b-4068-b172-50d203d48f99: 50 groups (HDF5, 1064.6 MB; 1.8 s; peak memory 282 MiB)
2026-09-13T15:11:41Z INFO [121/356] 51d8959a-a909-4057-aa9a-092a5ed685b8: 35 groups (HDF5, 1.5 MB; 0.8 s; peak memory 282 MiB)
2026-09-13T15:11:41Z INFO [122/356] 51ed3c8a-88a7-44f5-8f1a-3e3f52860a18: 33 groups (HDF5, 1.3 MB; 0.6 s; peak memory 282 MiB)
2026-09-13T15:11:42Z INFO [123/356] 5248f7f4-79bd-4883-b8c5-d9be7b118f8d: 35 groups (HDF5, 1.2 MB; 0.7 s; peak memory 282 MiB)
2026-09-13T15:11:42Z INFO [124/356] 534321f5-8c64-4f58-9925-0c69417e7900: 32 groups (HDF5, 1.0 MB; 0.6 s; peak memory 282 MiB)
2026-09-13T15:11:46Z INFO [125/356] 5367b55a-6668-42c8-a8fc-bd59f49c74fe: 34 groups (HDF5, 48.2 MB; 3.6 s; peak memory 282 MiB)
2026-09-13T15:11:47Z INFO [126/356] 5424ac54-a11e-4f6d-9362-1368f6889721: 32 groups (HDF5, 1.2 MB; 0.5 s; peak memory 282 MiB)
2026-09-13T15:11:47Z INFO [127/356] 54a1a727-e9df-4122-8dd3-32f02a43e6b4: 25 groups (HDF5, 15.8 MB; 0.7 s; peak memory 282 MiB)
2026-09-13T15:11:49Z INFO [128/356] 5529237d-c94b-4cf1-ae84-e915d834f5fc: 33 groups (HDF5, 3473.2 MB; 1.3 s; peak memory 282 MiB)
2026-09-13T15:11:51Z INFO [129/356] 5546e189-62e1-4cf8-9979-01d336d6b6a8: 116 groups (HDF5, 19.6 MB; 2.6 s; peak memory 282 MiB)
2026-09-13T15:11:52Z INFO [130/356] 55e9a323-2a2d-4cbe-835e-3da4cedda1ea: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 282 MiB)
2026-09-13T15:11:52Z INFO [131/356] 561b77bf-a152-4cbc-92d0-09a822f5043e: 32 groups (HDF5, 0.8 MB; 0.6 s; peak memory 282 MiB)
2026-09-13T15:11:53Z INFO [132/356] 563f5b28-93c0-467a-b462-d9b676681a30: 35 groups (HDF5, 1.6 MB; 0.9 s; peak memory 282 MiB)
2026-09-13T15:11:54Z INFO [133/356] 5704d7ee-34dd-400e-8ea4-a53aa94ddfa1: 25 groups (HDF5, 25.0 MB; 0.6 s; peak memory 282 MiB)
2026-09-13T15:12:05Z INFO [134/356] 575bf105-47cf-4cf1-90fa-a9350a0c5058: 23 groups (HDF5, 52124.0 MB; 11.5 s; peak memory 282 MiB)
2026-09-13T15:12:06Z INFO [135/356] 57a4931a-c9de-4ee5-9d92-77db21697053: 48 groups (HDF5, 51.7 MB; 1.0 s; peak memory 282 MiB)
2026-09-13T15:12:08Z INFO [136/356] 59b4c4d1-a155-45e1-af1e-77c21d257b11: 25 groups (HDF5, 4274.3 MB; 1.8 s; peak memory 282 MiB)
2026-09-13T15:12:13Z INFO [137/356] 5a4de696-ce5a-434e-8d17-eeb63db7b80f: 257 groups (HDF5, 44.6 MB; 5.4 s; peak memory 282 MiB)
2026-09-13T15:12:14Z INFO [138/356] 5d667760-a342-4abe-8e09-40dfc0687258: 35 groups (HDF5, 1.1 MB; 0.7 s; peak memory 282 MiB)
2026-09-13T15:12:15Z INFO [139/356] 5fe10ce8-3ef2-4990-b8f9-6228710a49f5: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 282 MiB)
