2026-09-17T15:43:16Z INFO Logging to /tmp/logs/update_2026-09-17T15-43-16Z.log.
2026-09-17T15:43:16Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T15:43:16Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:10:28Z INFO [135/385] 02954af6-e78d-4cde-8f65-e57e804b4eb1: 128 groups; 2.8 s; peak memory 1307 MiB.
2026-09-17T16:10:29Z INFO [136/385] 02954c97-270f-4783-8d50-1017070272e0: 252 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:10:30Z INFO [137/385] 02959882-f6a0-4953-8315-ae122f73ee3e: 21 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:10:31Z INFO [138/385] 0295bd30-d875-4221-8bf9-fd26a50e4730: 35 groups; 1.4 s; peak memory 1307 MiB.
2026-09-17T16:10:32Z INFO [139/385] 02966e4b-e374-497b-a978-f323a372b4da: 30 groups; 0.8 s; peak memory 1307 MiB.
2026-09-17T16:10:34Z INFO [140/385] 0297c5f6-6d74-4df9-9180-0a63573ad406: 189 groups; 1.9 s; peak memory 1307 MiB.
2026-09-17T16:10:35Z INFO [141/385] 02995666-ca83-462e-8955-8cade5c9dad0: 254 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:10:36Z INFO [142/385] 0299a00d-47db-4aa9-b708-b4428c271107: 42 groups; 1.3 s; peak memory 1307 MiB.
2026-09-17T16:10:37Z INFO [143/385] 0299aacd-4811-437f-9539-54feaa63e240: 28 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:10:47Z INFO [144/385] 0299de1d-65a8-49d3-b61e-68a329ec7256: 237 groups; 9.2 s; peak memory 1307 MiB.
2026-09-17T16:10:57Z INFO [145/385] 029aded6-3070-4d1f-a252-41fad264a6fe: 389 groups; 10.3 s; peak memory 1307 MiB.
2026-09-17T16:10:58Z INFO [146/385] 029bf697-4540-4395-b264-3edb210470a8: 22 groups; 0.8 s; peak memory 1307 MiB.
2026-09-17T16:10:59Z INFO [147/385] 029d5a86-0e9b-418c-813b-ffb02539af15: 35 groups; 1.2 s; peak memory 1307 MiB.
2026-09-17T16:33:00Z INFO [148/385] 029d6050-dc13-418b-97a3-bbfbd958e998: 179 groups; 1321.1 s; peak memory 1307 MiB.
2026-09-17T16:33:01Z INFO [149/385] 029d681f-5887-4e88-9d28-627bd08d5723: 32 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:33:03Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: 254 groups; 1.2 s; peak memory 1307 MiB.
2026-09-17T16:33:03Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: checkpointed 48180 records.
2026-09-17T16:34:36Z INFO [151/385] 029ea7e2-96c1-4daa-bed3-0251b54fc56e: 81 groups; 92.9 s; peak memory 1307 MiB.
2026-09-17T16:34:37Z INFO [152/385] 029ecb06-e88c-4b7b-99f8-f434c257921c: 33 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:34:45Z INFO [153/385] 02a17d04-270c-4fbf-9736-b02f5edc72bc: 237 groups; 8.2 s; peak memory 1307 MiB.
2026-09-17T16:34:46Z INFO [154/385] 02a1d9ba-34cf-4ec3-9da4-a6d09389448f: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:34:48Z INFO [155/385] 02a24b84-5179-429c-8e97-d03da5ecbcb1: 50 groups; 2.4 s; peak memory 1307 MiB.
2026-09-17T16:34:50Z INFO [156/385] 02a2d86b-f848-4846-9e29-d92b8cbc38d2: 35 groups; 1.3 s; peak memory 1307 MiB.
2026-09-17T16:34:51Z INFO [157/385] 02a32839-becd-4722-9c93-59e02da90002: 103 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:34:52Z INFO [158/385] 02a37861-2b09-4c07-8421-2ffa0a97102e: 43 groups; 1.4 s; peak memory 1307 MiB.
2026-09-17T16:34:53Z INFO [159/385] 02a40a80-742a-424e-8e01-7cda99237e8e: 22 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:34:54Z INFO [160/385] 02a42b1f-1cf4-436f-9320-c7d937bad4fa: 22 groups; 0.7 s; peak memory 1307 MiB.
2026-09-17T16:34:54Z INFO [161/385] 02a5842f-430f-4b12-a276-798dd69ae01a: 18 groups; 0.6 s; peak memory 1307 MiB.
2026-09-17T16:34:55Z INFO [162/385] 02a6166e-28e2-4e65-b0cb-809e8a8f6cec: 32 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:34:56Z INFO [163/385] 02a767b0-1fb4-4989-ad41-174aafcd972e: 32 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:35:11Z INFO [164/385] 02a82567-39a8-4040-8860-17a550d6257d: 223 groups; 14.6 s; peak memory 1307 MiB.
2026-09-17T16:35:13Z INFO [165/385] 02a87624-9c8a-4fc5-b5a4-c595629b2717: 50 groups; 2.5 s; peak memory 1307 MiB.
