2026-09-21T17:14:51Z INFO Logging to /tmp/logs/update_2026-09-21T17-14-51Z.log.
2026-09-21T17:14:51Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T17:14:52Z INFO Processing 367 items (52499 already recorded).
2026-09-21T17:21:19Z INFO [148/367] 0c0e67e4-7f3c-449f-a18e-2b5577a9ff71: 202 groups; 1.4 s; peak memory 288 MiB.
2026-09-21T17:21:20Z INFO [149/367] 0c0e784f-95ac-4835-a11b-937ac1344eb1: 30 groups; 0.6 s; peak memory 288 MiB.
2026-09-21T17:21:22Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: 206 groups; 1.5 s; peak memory 288 MiB.
2026-09-21T17:21:22Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: checkpointed 52649 records.
2026-09-21T17:21:23Z INFO [151/367] 0c0f3236-b508-42c9-93dd-6ef403f97a7e: 252 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:21:24Z INFO [152/367] 0c0f91f5-7cf7-4e84-be71-35bec34d05a0: 35 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:21:26Z INFO [153/367] 0c102576-35cd-40ca-9780-64e6bfc18e6f: 62 groups; 2.5 s; peak memory 288 MiB.
2026-09-21T17:21:27Z INFO [154/367] 0c10ebf2-ee30-4df4-b78e-e2b3fead1ff6: 49 groups; 1.3 s; peak memory 288 MiB.
2026-09-21T17:21:28Z INFO [155/367] 0c115bca-a458-4138-b185-40a39089a2c6: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:21:29Z INFO [156/367] 0c122516-de0b-4f6a-b25e-637936b38f1b: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:21:30Z INFO [157/367] 0c125d2c-6908-435e-abed-6000af90c265: 40 groups; 1.2 s; peak memory 288 MiB.
2026-09-21T17:21:43Z INFO [158/367] 0c12e027-075f-4baf-b3ea-c1d666f2e83b: 193 groups; 12.3 s; peak memory 288 MiB.
2026-09-21T17:21:44Z INFO [159/367] 0c12fb8d-0a95-4dab-9330-49901190edf9: 48 groups; 1.6 s; peak memory 288 MiB.
2026-09-21T17:21:50Z INFO [160/367] 0c1307af-2500-40e4-b57d-2b121af63801: 48 groups; 6.0 s; peak memory 288 MiB.
2026-09-21T17:21:51Z INFO [161/367] 0c1346ca-c08f-45fb-8c53-6a31863dbb9f: 103 groups; 1.0 s; peak memory 288 MiB.
2026-09-21T17:21:52Z INFO [162/367] 0c135bf5-edec-45aa-b4d2-10c84f441c4f: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:21:53Z INFO [163/367] 0c137387-db8e-4ff4-8d0e-f47390dc1b3a: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:21:54Z INFO [164/367] 0c15757f-c7d3-4f46-9968-fca05f2d83ff: 206 groups; 1.5 s; peak memory 288 MiB.
2026-09-21T17:21:55Z INFO [165/367] 0c15f4dd-1915-41d0-935a-762313e2361c: 253 groups; 0.8 s; peak memory 288 MiB.
